Date,Security,EX,Close,PrevClose,Cha,Open,High,Low,Avg,Volume,Turnover,Trns,RSI,Return,DilutedPrice
2021-05-25,LOLCN0000,,331.50,325.00,6.50,328.00,335.50,322.25,330.95,"221365","73261502",446,58.74,2.00,331.50
2021-05-28,LOLCN0000,,338.25,331.50,6.75,332.50,340.50,330.00,336.15,"261243","87817501",440,61.81,2.03,338.25
2021-05-31,LOLCN0000,,350.00,338.25,11.75,340.00,355.00,340.00,347.86,"834600","290322593","1132",66.48,3.47,350.00
2021-06-01,LOLCN0000,,358.75,350.00,8.75,361.00,371.00,353.00,360.50,"1725182","621934917","2291",67.04,2.50,358.75
2021-06-02,LOLCN0000,,350.75,358.75,-8.00,360.00,364.75,348.00,352.01,"350540","123393694",743,68.77,-2.22,350.75
2021-06-03,LOLCN0000,,361.75,350.75,11.00,354.50,368.00,350.00,359.19,"684526","245877673","1085",72.05,3.13,361.75
2021-06-04,LOLCN0000,,382.50,361.75,20.75,371.00,388.00,371.00,380.92,"1832891","698176087","2842",76.66,5.73,382.50
2021-06-07,LOLCN0000,,382.25,382.50,-0.25,385.00,389.00,380.00,382.87,"496022","189911787","1030",75.34,-0.06,382.25
2021-06-08,LOLCN0000,,377.75,382.25,-4.50,384.75,384.75,375.00,378.90,"258475","97935001",722,68.47,-1.17,377.75
2021-06-09,LOLCN0000,,376.00,377.75,-1.75,379.00,379.00,374.75,376.21,"233384","87801535",492,70.92,-0.46,376.00
2021-06-10,LOLCN0000,,379.50,376.00,3.50,377.00,383.75,377.00,380.16,"348239","132385870",467,71.71,0.93,379.50
2021-06-11,LOLCN0000,,388.25,379.50,8.75,382.00,393.50,375.25,385.46,"1151543","443868608","1463",77.51,2.30,388.25
2021-06-14,LOLCN0000,,386.25,388.25,-2.00,385.00,392.50,381.25,386.55,"405650","156805267",681,83.08,-0.51,386.25
2021-06-15,LOLCN0000,,401.00,386.25,14.75,385.50,407.50,385.50,398.86,"1280080","510567169","1876",84.86,3.81,401.00
2021-06-16,LOLCN0000,,409.00,401.00,8.00,410.00,414.75,406.00,409.86,"691124","283263620","1507",85.07,1.99,409.00
2021-06-17,LOLCN0000,,406.25,409.00,-2.75,410.00,410.00,403.50,405.39,"319894","129681001",799,81.92,-0.67,406.25
2021-06-18,LOLCN0000,,419.75,406.25,13.50,406.00,420.50,406.00,417.57,"1215639","507618651","1575",82.22,3.32,419.75
2021-06-21,LOLCN0000,,416.75,419.75,-3.00,419.00,424.00,415.25,420.65,"352725","148372375",790,78.29,-0.71,416.75
2021-06-22,LOLCN0000,,408.50,416.75,-8.25,420.00,420.00,406.75,410.20,"354784","145531305",921,78.10,-1.97,408.50
2021-06-23,LOLCN0000,,405.50,408.50,-3.00,408.00,410.00,395.00,402.45,"257574","103659604",762,73.09,-0.73,405.50
2021-06-25,LOLCN0000,,411.00,405.50,5.50,405.50,415.00,405.00,411.18,"183015","75251607",477,67.92,1.35,411.00
2021-06-28,LOLCN0000,,418.00,411.00,7.00,412.00,418.75,411.00,416.57,"361361","150532540",589,70.73,1.70,418.00
2021-06-29,LOLCN0000,,401.75,418.00,-16.25,418.50,419.50,399.50,411.18,"2585343","1063041160","1863",62.25,-3.88,401.75
2021-06-30,LOLCN0000,,394.50,401.75,-7.25,408.00,408.00,390.25,395.96,"328214","129960617",934,58.94,-1.80,394.50
2021-07-01,LOLCN0000,,388.50,394.50,-6.00,393.25,398.00,386.00,390.12,"210454","82101608",716,54.25,-1.52,388.50
2021-07-02,LOLCN0000,,397.50,388.50,9.00,389.50,399.75,380.25,391.71,"395831","155051898",785,54.35,2.31,397.50
2021-07-05,LOLCN0000,,397.75,397.50,0.25,400.00,404.00,395.00,400.06,"78997","31603341",226,55.50,0.06,397.75
2021-07-06,LOLCN0000,,395.00,397.75,-2.75,398.00,400.00,393.25,395.20,"164134","64865507",250,46.76,-0.69,395.00
2021-07-07,LOLCN0000,,401.75,395.00,6.75,375.00,407.00,375.00,401.31,"452303","181512542",605,46.03,1.70,401.75
2021-07-08,LOLCN0000,,405.00,401.75,3.25,404.00,409.00,404.00,406.52,"198762","80801520",371,49.32,0.80,405.00
2021-07-09,LOLCN0000,,410.25,405.00,5.25,408.00,413.00,406.00,409.77,"316092","129523989",565,44.31,1.29,410.25
2021-07-12,LOLCN0000,,409.25,410.25,-1.00,410.25,412.00,408.50,409.45,"107822","44147667",253,45.40,-0.24,409.25
2021-07-13,LOLCN0000,,414.75,409.25,5.50,409.00,415.00,408.00,413.26,"387644","160196364",446,53.97,1.34,414.75
2021-07-14,LOLCN0000,,418.25,414.75,3.50,413.75,423.00,411.25,417.03,"442385","184486552",548,58.04,0.84,418.25
2021-07-15,LOLCN0000,,426.00,418.25,7.75,420.00,427.75,420.00,424.72,"332051","141029321",623,59.20,1.85,426.00
2021-07-16,LOLCN0000,,422.25,426.00,-3.75,426.00,430.00,420.00,426.37,"246343","105033902",518,52.72,-0.88,422.25
2021-07-19,LOLCN0000,,441.00,422.25,18.75,425.00,444.00,424.50,436.10,"1024685","446860313","1282",74.30,4.44,441.00
2021-07-20,LOLCN0000,,455.00,441.00,14.00,440.00,457.25,437.00,448.07,"951257","426231450","1196",84.57,3.17,455.00
2021-07-22,LOLCN0000,,469.75,455.00,14.75,453.00,473.00,453.00,464.71,"787975","366180840","1285",92.21,3.24,469.75
2021-07-26,LOLCN0000,,460.25,469.75,-9.50,470.00,478.00,457.00,465.39,"366427","170529719","1082",82.43,-2.02,460.25
2021-07-27,LOLCN0000,,460.75,460.25,0.50,456.00,469.75,450.00,458.58,"288695","132389155",633,82.48,0.10,460.75
2021-07-28,LOLCN0000,,462.75,460.75,2.00,460.50,463.50,456.75,460.07,"111843","51456003",337,85.20,0.43,462.75
2021-07-29,LOLCN0000,,468.00,462.75,5.25,463.25,469.75,462.50,467.75,"201454","94230517",364,84.96,1.13,468.00
2021-07-30,LOLCN0000,,465.25,468.00,-2.75,469.75,473.00,462.00,465.72,"135794","63241420",263,81.96,-0.58,465.25
2021-08-02,LOLCN0000,,473.75,465.25,8.50,468.00,477.00,462.25,471.30,"468926","221006911",526,82.57,1.82,473.75
2021-08-03,LOLCN0000,,485.50,473.75,11.75,476.00,487.50,473.75,482.73,"647722","312675735",850,85.22,2.48,485.50
2021-08-04,LOLCN0000,,477.50,485.50,-8.00,487.00,490.00,475.25,480.97,"311093","149624909",553,78.33,-1.64,477.50
2021-08-05,LOLCN0000,,449.50,477.50,-28.00,472.00,477.50,445.00,457.52,"989754","452836627","1637",61.55,-5.86,449.50
2021-08-06,LOLCN0000,,458.50,449.50,9.00,446.00,464.00,441.00,455.50,"528295","240638820","1035",61.91,2.00,458.50
2021-08-09,LOLCN0000,,458.50,458.50,0.00,460.00,462.00,450.00,456.85,"271244","123918834",460,63.65,0.00,458.50
2021-08-10,LOLCN0000,,450.00,458.50,-8.50,460.00,460.00,448.00,454.38,"343511","156085474",598,53.67,-1.85,450.00
2021-08-11,LOLCN0000,,448.50,450.00,-1.50,450.00,455.00,446.00,450.65,"136551","61536287",356,47.05,-0.33,448.50
2021-08-12,LOLCN0000,,431.75,448.50,-16.75,449.75,450.00,428.00,436.03,"575237","250818645","1166",33.04,-3.73,431.75
2021-08-13,LOLCN0000,,433.00,431.75,1.25,435.00,442.00,431.00,436.48,"198018","86430812",480,36.87,0.28,433.00
2021-08-16,LOLCN0000,,427.75,433.00,-5.25,432.50,432.50,422.00,428.07,"271741","116324828",357,34.79,-1.21,427.75
2021-08-17,LOLCN0000,,452.00,427.75,24.25,431.50,459.50,431.50,447.98,"433425","194164621",694,45.89,5.66,452.00
2021-08-18,LOLCN0000,,476.00,452.00,24.00,462.00,479.00,460.00,469.44,"558742","262293919","1015",52.68,5.30,476.00
2021-08-19,LOLCN0000,,459.75,476.00,-16.25,460.00,480.00,452.00,464.34,"485466","225419688",762,48.31,-3.41,459.75
2021-08-20,LOLCN0000,,459.00,459.75,-0.75,454.00,467.00,451.00,460.52,"293762","135281966",424,45.25,-0.16,459.00
2021-08-23,LOLCN0000,,491.50,459.00,32.50,460.00,500.00,460.00,485.46,"1545732","750393121","2074",51.70,7.08,491.50
2021-08-24,LOLCN0000,,507.50,491.50,16.00,509.00,525.00,504.00,515.77,"1871505","965258173","2220",58.15,3.25,507.50
2021-08-25,LOLCN0000,,505.25,507.50,-2.25,507.75,514.00,503.00,508.53,"898776","457055722","1018",67.61,-0.44,505.25
2021-08-26,LOLCN0000,,523.75,505.25,18.50,510.00,529.00,509.00,519.99,"1254719","652445253","1383",69.45,3.66,523.75
2021-08-27,LOLCN0000,,572.25,523.75,48.50,523.75,584.50,530.50,556.19,"1656614","921393362","2303",76.30,9.26,572.25
2021-08-30,LOLCN0000,,601.00,572.25,28.75,615.00,645.00,589.75,617.40,"1858235","1147273915","2882",81.92,5.02,601.00
2021-08-31,LOLCN0000,,591.75,601.00,-9.25,600.00,604.75,570.00,593.07,"1209984","717602027","2034",79.32,-1.53,591.75
2021-09-01,LOLCN0000,,610.00,591.75,18.25,600.00,619.00,599.00,607.80,"1108600","673810294","1432",86.27,3.08,610.00
2021-09-02,LOLCN0000,,628.00,610.00,18.00,615.00,632.00,612.00,626.93,"949714","595400027","1024",87.14,2.95,628.00
2021-09-03,LOLCN0000,,617.50,628.00,-10.50,628.00,630.00,611.00,620.79,"339571","210801303",751,85.43,-1.67,617.50
2021-09-06,LOLCN0000,,612.25,617.50,-5.25,610.00,625.00,595.00,613.84,"692232","424917201",934,82.21,-0.85,612.25
2021-09-07,LOLCN0000,,591.50,612.25,-20.75,605.25,612.00,580.00,596.34,"635620","379046933","1336",73.52,-3.38,591.50
2021-09-08,LOLCN0000,,541.00,591.50,-50.50,590.00,605.00,510.25,552.77,"1119933","619064597","2819",64.52,-8.53,541.00
2021-09-09,LOLCN0000,,560.25,541.00,19.25,550.00,565.00,528.00,551.45,"725849","400270091","1393",66.97,3.55,560.25
2021-09-10,LOLCN0000,,533.25,560.25,-27.00,567.75,570.00,530.00,541.34,"310559","168117708",981,57.13,-4.81,533.25
2021-09-13,LOLCN0000,,498.00,533.25,-35.25,525.00,533.25,494.00,503.39,"636882","320600075","1579",48.48,-6.61,498.00
2021-09-14,LOLCN0000,,512.00,498.00,14.00,510.00,519.50,500.25,513.61,"242349","124472614",731,51.04,2.81,512.00
2021-09-15,LOLCN0000,,533.25,512.00,21.25,515.00,539.75,515.00,531.04,"355051","188546805",801,51.45,4.15,533.25
2021-09-16,LOLCN0000,,522.50,533.25,-10.75,538.00,545.00,515.00,529.45,"200691","106256635",598,41.39,-2.01,522.50
2021-09-17,LOLCN0000,,517.75,522.50,-4.75,520.00,529.00,510.00,514.82,"139020","71570960",496,34.28,-0.90,517.75
2021-09-21,LOLCN0000,,504.50,517.75,-13.25,518.00,520.00,500.75,510.11,"106312","54230443",503,33.77,-2.55,504.50
2021-09-22,LOLCN0000,,506.25,504.50,1.75,503.25,518.50,500.25,506.06,"173932","88019703",423,29.43,0.34,506.25
2021-09-23,LOLCN0000,,510.75,506.25,4.50,510.00,517.00,509.75,512.43,"107694","55185799",236,25.44,0.88,510.75
2021-09-24,LOLCN0000,,521.00,510.75,10.25,512.00,527.00,510.00,518.67,"253345","131403633",485,29.77,2.00,521.00
2021-09-27,LOLCN0000,,561.75,521.00,40.75,535.00,564.00,535.00,551.53,"730592","402943539","1275",40.78,7.82,561.75
2021-09-28,LOLCN0000,,583.50,561.75,21.75,570.00,594.75,562.00,578.56,"615902","356335427","1211",48.55,3.87,583.50
2021-09-29,LOLCN0000,,621.25,583.50,37.75,598.00,625.25,592.00,611.68,"1193003","729739090","2301",65.30,6.46,621.25
2021-09-30,LOLCN0000,,620.00,621.25,-1.25,630.00,637.00,611.00,624.62,"824251","514846517","1311",62.23,-0.20,620.00
2021-10-01,LOLCN0000,,618.25,620.00,-1.75,625.00,625.00,615.00,619.14,"270058","167204432",550,69.41,-0.28,618.25
2021-10-04,LOLCN0000,,611.75,618.25,-6.50,618.25,621.00,600.25,610.99,"146889","89746987",498,79.90,-1.05,611.75
2021-10-05,LOLCN0000,,606.50,611.75,-5.25,616.00,624.00,600.25,606.65,"135686","82313908",471,76.03,-0.85,606.50
2021-10-06,LOLCN0000,,614.00,606.50,7.50,618.00,623.00,605.00,615.72,"174387","107372835",361,74.07,1.23,614.00
2021-10-07,LOLCN0000,,611.50,614.00,-2.50,610.25,614.75,604.00,608.36,"67782","41235656",271,77.90,-0.40,611.50
2021-10-08,LOLCN0000,,610.00,611.50,-1.50,612.00,615.00,607.00,610.49,"86658","52903492",251,79.52,-0.24,610.00
2021-10-11,LOLCN0000,,607.75,610.00,-2.25,615.00,615.00,602.00,605.99,"68380","41437596",307,85.54,-0.36,607.75
2021-10-12,LOLCN0000,,605.00,607.75,-2.75,605.50,609.25,602.00,605.86,"94544","57280417",300,83.76,-0.45,605.00
2021-10-13,LOLCN0000,,589.50,605.00,-15.50,605.00,605.00,583.00,589.91,"356354","210217902","1072",75.04,-2.56,589.50
2021-10-14,LOLCN0000,,605.00,589.50,15.50,600.00,607.00,600.00,604.26,"154985","93651229",373,75.85,2.62,605.00
2021-10-15,LOLCN0000,,607.50,605.00,2.50,606.00,614.50,605.00,609.11,"257334","156745112",369,68.41,0.41,607.50
2021-10-18,LOLCN0000,,606.50,607.50,-1.00,605.50,609.50,602.00,606.94,"111661","67770978",301,61.11,-0.16,606.50
2021-10-21,LOLCN0000,,642.75,606.50,36.25,615.00,645.50,615.00,634.24,"913917","579642436","1757",60.54,5.97,642.75
2021-10-22,LOLCN0000,,652.25,642.75,9.50,655.00,665.00,645.75,654.63,"510286","334049844","1214",64.63,1.47,652.25
2021-10-25,LOLCN0000,,647.50,652.25,-4.75,645.00,652.75,642.00,647.08,"425363","275242682",602,62.91,-0.72,647.50
2021-10-26,LOLCN0000,,652.25,647.50,4.75,652.50,658.00,647.50,650.98,"274203","178499644",461,68.16,0.73,652.25
2021-10-27,LOLCN0000,,648.25,652.25,-4.00,650.00,655.50,645.25,648.91,"84734","54984598",341,68.93,-0.61,648.25
2021-10-28,LOLCN0000,,642.75,648.25,-5.50,649.00,650.00,640.00,645.50,"99575","64275223",331,63.28,-0.84,642.75
2021-10-29,LOLCN0000,,635.00,642.75,-7.75,642.75,642.75,620.00,630.44,"286762","180785111",676,60.35,-1.20,635.00
2021-11-01,LOLCN0000,,634.75,635.00,-0.25,640.00,645.75,628.00,639.31,"190993","122103243",351,61.02,-0.03,634.75
2021-11-02,LOLCN0000,,628.75,634.75,-6.00,626.00,640.00,621.00,628.47,"60286","37887976",225,59.05,-0.94,628.75
2021-11-03,LOLCN0000,,621.00,628.75,-7.75,630.00,637.00,618.25,622.66,"187310","116629793",410,56.61,-1.23,621.00
2021-11-05,LOLCN0000,,645.25,621.00,24.25,622.00,660.00,613.00,640.58,"427559","273883809",839,71.48,3.90,645.25
2021-11-08,LOLCN0000,,651.00,645.25,5.75,645.00,654.75,636.00,647.18,"455425","294742299",756,69.17,0.89,651.00
2021-11-09,LOLCN0000,,652.25,651.00,1.25,660.00,685.00,640.00,663.74,"783788","520229592","1208",68.84,0.19,652.25
2021-11-10,LOLCN0000,,660.50,652.25,8.25,645.00,668.00,640.00,658.50,"158012","104051279",321,71.43,1.26,660.50
2021-11-11,LOLCN0000,,683.75,660.50,23.25,670.00,689.25,661.25,675.38,"438924","296439814",912,68.14,3.52,683.75
2021-11-12,LOLCN0000,,692.75,683.75,9.00,689.50,700.00,685.00,695.41,"321769","223760935",814,68.00,1.31,692.75
2021-11-15,LOLCN0000,,722.00,692.75,29.25,671.00,739.00,661.00,707.01,"509229","360031282","1180",77.19,4.22,722.00
2021-11-16,LOLCN0000,,748.25,722.00,26.25,750.00,769.00,737.00,751.60,"425156","319548768",917,80.28,3.63,748.25
2021-11-17,LOLCN0000,,742.50,748.25,-5.75,755.00,766.00,737.00,747.89,"368487","275588830",758,79.41,-0.76,742.50
2021-11-19,LOLCN0000,,744.50,742.50,2.00,749.00,774.50,735.00,755.02,"471939","356324985",983,82.46,0.26,744.50
2021-11-22,LOLCN0000,,768.00,744.50,23.50,760.00,770.00,755.00,765.60,"447892","342903910",609,88.55,3.15,768.00
2021-11-23,LOLCN0000,,894.25,768.00,126.25,770.00,917.00,770.00,831.35,"1108244","921338744","2835",93.47,16.43,894.25
2021-11-24,LOLCN0000,,915.25,894.25,21.00,920.00,960.00,906.00,928.73,"746835","693607896","1894",95.69,2.34,915.25
