,Date,AML.L,DAI.DE,RACE,RNL.DE,STLA,WGF1.F
0,2012-01-02,,22.302093505859375,,19.2711238861084,,18.673999786376953
1,2012-01-03,,23.12505531311035,,19.94120979309082,2.1740314960479736,19.07699966430664
2,2012-01-04,,22.93271827697754,,19.544769287109375,2.3138251304626465,20.450000762939453
3,2012-01-05,,23.263795852661133,,19.43952178955078,2.3138251304626465,19.509000778198242
4,2012-01-06,,22.998933792114258,,19.73772430419922,2.3138251304626465,
5,2012-01-09,,23.162893295288086,,19.765792846679688,2.3331074714660645,19.884000778198242
6,2012-01-10,,24.127756118774414,,20.660409927368164,2.3331074714660645,19.816999435424805
7,2012-01-11,,24.099376678466797,,20.800743103027344,2.3909525871276855,19.881999969482422
8,2012-01-12,,24.07099723815918,,20.969141006469727,2.371670722961426,20.115999221801758
9,2012-01-13,,23.944869995117188,,20.877927780151367,2.362029790878296,19.815000534057617
10,2012-01-16,,24.811981201171875,,21.48486328125,,20.19099998474121
11,2012-01-17,,25.757917404174805,,22.242658615112305,2.362029790878296,19.104000091552734
12,2012-01-18,,26.085847854614258,,22.2005558013916,2.362029790878296,19.100000381469727
13,2012-01-19,,26.133142471313477,,22.765396118164062,2.6512579917907715,19.308000564575195
14,2012-01-20,,26.457918167114258,,22.891691207885742,2.6512579917907715,19.450000762939453
15,2012-01-23,,26.287649154663086,,23.477581024169922,2.8778202533721924,19.038000106811523
16,2012-01-24,,26.10161018371582,,22.62155532836914,2.8778202533721924,18.97599983215332
17,2012-01-25,,26.467378616333008,,23.014484405517578,2.8778202533721924,18.781999588012695
18,2012-01-26,,27.3565616607666,,23.803852081298828,2.998331308364868,18.63599967956543
19,2012-01-27,,26.927732467651367,,23.45652961730957,2.8585383892059326,18.31100082397461
20,2012-01-30,,26.703861236572266,,22.814510345458984,2.7958712577819824,19.049999237060547
21,2012-01-31,,26.640796661376953,,23.07412338256836,2.7958712577819824,19.327999114990234
22,2012-02-01,,27.6529483795166,,23.810871124267578,3.128484010696411,18.988000869750977
23,2012-02-02,,27.80745506286621,,24.368688583374023,3.128484010696411,18.819000244140625
24,2012-02-03,,28.665115356445312,,25.30540657043457,2.9886903762817383,18.618999481201172
25,2012-02-06,,28.67456817626953,,26.007070541381836,2.897101640701294,18.304000854492188
26,2012-02-07,,28.14798927307129,,25.719390869140625,2.998331308364868,18.54400062561035
27,2012-02-08,,28.138534545898438,,25.807096481323242,3.0127933025360107,18.520000457763672
28,2012-02-09,,29.437625885009766,,26.51577377319336,3.0127933025360107,18.43899917602539
29,2012-02-10,,29.2326717376709,,25.34400177001953,2.974229097366333,18.927000045776367
30,2012-02-13,,29.670955657958984,,25.7088623046875,2.974229097366333,18.489999771118164
31,2012-02-14,,29.614200592041016,,24.831787109375,2.8922805786132812,18.555999755859375
32,2012-02-15,,29.38717269897461,,25.34400177001953,2.9260246753692627,18.67099952697754
33,2012-02-16,,29.2137508392334,,26.417545318603516,2.8151533603668213,18.604000091552734
34,2012-02-17,,30.13446807861328,,27.876995086669922,3.027254343032837,19.489999771118164
35,2012-02-20,,30.52230453491211,,28.708465576171875,,19.06999969482422
36,2012-02-21,,30.25428009033203,,28.834766387939453,3.027254343032837,19.413999557495117
37,2012-02-22,,30.175453186035156,,28.238351821899414,3.027254343032837,19.386999130249023
38,2012-02-23,,29.59527587890625,,27.013948440551758,2.930845022201538,20.0
39,2012-02-24,,29.92005157470703,,27.961193084716797,2.930845022201538,20.0
40,2012-02-27,,29.062402725219727,,26.842042922973633,2.863358736038208,19.336999893188477
41,2012-02-28,,29.046640396118164,,27.866474151611328,2.863358736038208,19.295000076293945
42,2012-02-29,,28.62727165222168,,27.91208267211914,2.819974184036255,19.097000122070312
43,2012-03-01,,28.999338150024414,,28.354127883911133,2.819974184036255,19.2450008392334
44,2012-03-02,,29.16014862060547,,28.32605743408203,2.819974184036255,19.374000549316406
45,2012-03-05,,29.008800506591797,,28.017330169677734,2.9886903762817383,19.222000122070312
46,2012-03-06,,27.479528427124023,,26.78240203857422,2.800691843032837,19.399999618530273
47,2012-03-07,,27.769615173339844,,27.171825408935547,2.800691843032837,19.170000076293945
48,2012-03-08,,29.119159698486328,,28.873353958129883,2.9886903762817383,19.600000381469727
49,2012-03-09,,29.601585388183594,,29.339962005615234,2.8922805786132812,19.371000289916992
50,2012-03-12,,30.061946868896484,,29.118938446044922,2.9356656074523926,19.371000289916992
51,2012-03-13,,30.093473434448242,,29.483802795410156,2.9356656074523926,19.384000778198242
52,2012-03-14,,30.434009552001953,,30.280181884765625,2.9356656074523926,19.26799964904785
53,2012-03-15,,30.550674438476562,,29.57501983642578,2.9356656074523926,19.180999755859375
54,2012-03-16,,29.784465789794922,,29.515371322631836,2.9356656074523926,19.575000762939453
55,2012-03-19,,29.71194839477539,,28.964569091796875,2.9356656074523926,20.0
56,2012-03-20,,28.40654754638672,,28.027854919433594,2.940485715866089,20.051000595092773
57,2012-03-21,,28.51691246032715,,28.533050537109375,2.940485715866089,20.648000717163086
58,2012-03-22,,28.248891830444336,,27.64194107055664,2.819974184036255,20.339000701904297
59,2012-03-23,,28.68718147277832,,27.813844680786133,2.819974184036255,20.51799964904785
60,2012-03-26,,29.4187068939209,,28.620758056640625,2.940485715866089,20.520000457763672
61,2012-03-27,,29.50383758544922,,28.585674285888672,3.0031518936157227,21.8700008392334
62,2012-03-28,,28.870059967041016,,28.15766143798828,3.0031518936157227,21.857999801635742
63,2012-03-29,,27.914663314819336,,27.227956771850586,3.0031518936157227,21.538999557495117
