,driver,points,driverID,race,race_country
9,Fernando Alonso,46,alonso,13,Netherlands
0,Max Verstappen,226.5,max_verstappen,14,Italy
1,Lewis Hamilton,221.5,hamilton,14,Italy
2,Valtteri Bottas,141,bottas,14,Italy
3,Lando Norris,132,norris,14,Italy
4,Sergio Pérez,118,perez,14,Italy
5,Charles Leclerc,104,leclerc,14,Italy
6,Carlos Sainz,97.5,sainz,14,Italy
7,Daniel Ricciardo,83,ricciardo,14,Italy
8,Pierre Gasly,66,gasly,14,Italy
9,Fernando Alonso,50,alonso,14,Italy
0,Lewis Hamilton,246.5,hamilton,15,Russia
1,Max Verstappen,244.5,max_verstappen,15,Russia
2,Valtteri Bottas,151,bottas,15,Russia
3,Lando Norris,139,norris,15,Russia
4,Sergio Pérez,120,perez,15,Russia
5,Carlos Sainz,112.5,sainz,15,Russia
6,Charles Leclerc,104,leclerc,15,Russia
7,Daniel Ricciardo,95,ricciardo,15,Russia
8,Pierre Gasly,66,gasly,15,Russia
9,Fernando Alonso,58,alonso,15,Russia
0,Max Verstappen,262.5,max_verstappen,16,Turkey
1,Lewis Hamilton,256.5,hamilton,16,Turkey
2,Valtteri Bottas,177,bottas,16,Turkey
3,Lando Norris,145,norris,16,Turkey
4,Sergio Pérez,135,perez,16,Turkey
5,Carlos Sainz,116.5,sainz,16,Turkey
6,Charles Leclerc,116,leclerc,16,Turkey
7,Daniel Ricciardo,95,ricciardo,16,Turkey
8,Pierre Gasly,74,gasly,16,Turkey
9,Fernando Alonso,58,alonso,16,Turkey
0,Max Verstappen,287.5,max_verstappen,17,United States
1,Lewis Hamilton,275.5,hamilton,17,United States
2,Valtteri Bottas,185,bottas,17,United States
3,Sergio Pérez,150,perez,17,United States
4,Lando Norris,149,norris,17,United States
5,Charles Leclerc,128,leclerc,17,United States
6,Carlos Sainz,122.5,sainz,17,United States
7,Daniel Ricciardo,105,ricciardo,17,United States
8,Pierre Gasly,74,gasly,17,United States
9,Fernando Alonso,58,alonso,17,United States
0,Max Verstappen,312.5,max_verstappen,18,Mexico
1,Lewis Hamilton,293.5,hamilton,18,Mexico
2,Valtteri Bottas,185,bottas,18,Mexico
3,Sergio Pérez,165,perez,18,Mexico
4,Lando Norris,150,norris,18,Mexico
5,Charles Leclerc,138,leclerc,18,Mexico
6,Carlos Sainz,130.5,sainz,18,Mexico
7,Daniel Ricciardo,105,ricciardo,18,Mexico
8,Pierre Gasly,86,gasly,18,Mexico
9,Fernando Alonso,60,alonso,18,Mexico
0,Max Verstappen,332.5,max_verstappen,19,Brazil
1,Lewis Hamilton,318.5,hamilton,19,Brazil
2,Valtteri Bottas,203,bottas,19,Brazil
3,Sergio Pérez,178,perez,19,Brazil
4,Lando Norris,151,norris,19,Brazil
5,Charles Leclerc,148,leclerc,19,Brazil
6,Carlos Sainz,139.5,sainz,19,Brazil
7,Daniel Ricciardo,105,ricciardo,19,Brazil
8,Pierre Gasly,92,gasly,19,Brazil
9,Fernando Alonso,62,alonso,19,Brazil
0,Max Verstappen,351.5,max_verstappen,20,Qatar
1,Lewis Hamilton,343.5,hamilton,20,Qatar
2,Valtteri Bottas,203,bottas,20,Qatar
3,Sergio Pérez,190,perez,20,Qatar
4,Lando Norris,153,norris,20,Qatar
5,Charles Leclerc,152,leclerc,20,Qatar
6,Carlos Sainz,145.5,sainz,20,Qatar
7,Daniel Ricciardo,105,ricciardo,20,Qatar
8,Pierre Gasly,92,gasly,20,Qatar
9,Fernando Alonso,77,alonso,20,Qatar
0,Max Verstappen,369.5,max_verstappen,21,Saudi Arabia
1,Lewis Hamilton,369.5,hamilton,21,Saudi Arabia
2,Valtteri Bottas,218,bottas,21,Saudi Arabia
3,Sergio Pérez,190,perez,21,Saudi Arabia
4,Charles Leclerc,158,leclerc,21,Saudi Arabia
5,Lando Norris,154,norris,21,Saudi Arabia
6,Carlos Sainz,149.5,sainz,21,Saudi Arabia
7,Daniel Ricciardo,115,ricciardo,21,Saudi Arabia
8,Pierre Gasly,100,gasly,21,Saudi Arabia
9,Fernando Alonso,77,alonso,21,Saudi Arabia
