,year,points,stock
0,2012,142.0,26.064441824147824
1,2013,360.0,34.90702718401712
2,2014,701.0,46.54492308601501
3,2015,703.0,59.1628323352243
4,2016,765.0,48.47241873647653
5,2017,668.0,54.63337062760896
6,2018,655.0,51.62619278922914
7,2019,739.0,44.65607273056213
8,2020,573.0,39.92543426273376
