Date,WIZZL,RYAAY,TSLA,NVDA
2016-11-29,1693.0,82.33999633789062,37.91400146484375,23.012042999267578
2016-11-30,1676.0,79.83999633789062,37.880001068115234,22.752927780151367
2016-12-01,1737.0,80.26000213623047,36.375999450683594,21.62761688232422
2016-12-02,1753.0,80.66999816894531,36.29399871826172,21.827512741088867
2016-12-05,1762.0,82.12999725341797,37.36000061035156,22.673954010009766
2016-12-06,1807.0,82.12999725341797,37.16999816894531,23.04659080505371
2016-12-07,1826.0,83.01000213623047,38.630001068115234,23.4611759185791
2016-12-08,1880.0,84.72000122070312,38.45800018310547,23.06879997253418
2016-12-09,1850.0,84.26000213623047,38.43600082397461,22.659147262573242
2016-12-12,1823.0,84.18000030517578,38.486000061035156,22.108835220336914
2016-12-13,1849.0,84.80999755859375,39.630001068115234,22.498746871948242
2016-12-14,1836.0,83.2300033569336,39.737998962402344,23.80173110961914
2016-12-15,1868.0,83.4800033569336,39.51599884033203,24.359451293945312
2016-12-16,1855.0,83.83999633789062,40.49800109863281,24.778974533081055
2016-12-19,1824.0,83.08000183105469,40.54600143432617,25.08004379272461
2016-12-20,1813.0,83.29000091552734,41.757999420166016,25.953638076782227
2016-12-21,1820.0,82.95999908447266,41.540000915527344,26.11650848388672
2016-12-22,1820.0,83.12999725341797,41.689998626708984,26.432384490966797
2016-12-23,1844.0,83.86000061035156,42.667999267578125,27.091278076171875
2016-12-28,1800.0,83.79000091552734,43.948001861572266,26.960493087768555
2016-12-29,1790.0,83.26000213623047,42.93600082397461,27.49846839904785
2016-12-30,1791.0,83.26000213623047,42.737998962402344,26.34107780456543
2017-01-03,1799.0,79.66999816894531,43.39799880981445,25.173816680908203
2017-01-04,1840.0,82.95999908447266,45.39799880981445,25.761144638061523
2017-01-05,1861.0,83.86000061035156,45.349998474121094,25.107187271118164
2017-01-06,1854.0,82.75,45.801998138427734,25.442806243896484
2017-01-09,1843.0,83.27999877929688,46.25600051879883,26.474336624145508
2017-01-10,1823.0,83.94999694824219,45.9739990234375,26.274446487426758
2017-01-11,1834.0,84.02999877929688,45.94599914550781,25.9511661529541
2017-01-12,1799.0,84.16999816894531,45.917999267578125,25.52671241760254
2017-01-13,1807.0,83.94999694824219,47.54999923706055,25.52424430847168
2017-01-16,1801.0,,,
2017-01-17,1839.0,84.54000091552734,47.11600112915039,24.95171546936035
2017-01-18,1822.0,84.27999877929688,47.672000885009766,25.405792236328125
2017-01-19,1825.0,84.47000122070312,48.75199890136719,25.9511661529541
2017-01-20,1824.0,84.5999984741211,48.94599914550781,25.66737174987793
2017-01-23,1820.0,84.58999633789062,49.784000396728516,25.93389320373535
2017-01-24,1806.0,84.20999908447266,50.922000885009766,26.486677169799805
2017-01-25,1822.0,84.23999786376953,50.89400100708008,26.600194931030273
2017-01-26,1829.0,84.41999816894531,50.50199890136719,27.059200286865234
2017-01-27,1844.0,84.4800033569336,50.59000015258789,27.58237075805664
2017-01-30,1830.0,83.51000213623047,50.125999450683594,27.1505069732666
2017-01-31,1781.0,83.66000366210938,50.38600158691406,26.94321632385254
2017-02-01,1616.0,85.66000366210938,49.847999572753906,28.12034797668457
2017-02-02,1560.0,84.94999694824219,50.310001373291016,28.475706100463867
2017-02-03,1613.0,85.6500015258789,50.26599884033203,28.22646141052246
2017-02-06,1593.0,81.66999816894531,51.55400085449219,28.949525833129883
2017-02-07,1578.0,80.44999694824219,51.49599838256836,29.398658752441406
2017-02-08,1570.0,80.69999694824219,52.41600036621094,29.27033805847168
2017-02-09,1581.0,82.12000274658203,53.84000015258789,28.72001838684082
2017-02-10,1571.0,82.16000366210938,53.84600067138672,28.038909912109375
2017-02-13,1613.0,83.22000122070312,56.119998931884766,26.745792388916016
2017-02-14,1633.0,82.70999908447266,56.19599914550781,26.844505310058594
2017-02-15,1645.0,83.11000061035156,55.95199966430664,26.89879608154297
2017-02-16,1662.0,83.0999984741211,53.790000915527344,26.466936111450195
2017-02-17,1706.0,82.97000122070312,54.44599914550781,26.46200180053711
2017-02-20,1668.0,,,
2017-02-21,1680.0,82.73999786376953,55.47800064086914,27.409626007080078
2017-02-22,1674.0,82.16000366210938,54.70199966430664,27.367626190185547
2017-02-23,1653.0,81.23999786376953,51.198001861572266,24.830018997192383
2017-02-24,1654.0,81.19999694824219,51.400001525878906,25.06968879699707
2017-02-27,1653.0,81.01000213623047,49.24599838256836,25.798603057861328
2017-02-28,1671.0,81.75,49.99800109863281,25.074630737304688
2017-03-01,1673.0,82.73999786376953,50.00400161743164,25.398319244384766
2017-03-02,1677.0,80.27999877929688,50.09600067138672,24.461851119995117
2017-03-03,1664.0,80.83000183105469,50.31399917602539,24.321006774902344
2017-03-06,1665.0,80.75,50.242000579833984,24.133220672607422
2017-03-07,1665.0,78.66000366210938,49.71799850463867,24.397605895996094
2017-03-08,1680.0,79.6500015258789,49.374000549316406,24.353130340576172
2017-03-09,1707.0,81.9000015258789,48.97999954223633,24.348186492919922
2017-03-10,1700.0,82.4000015258789,48.737998962402344,24.49150276184082
2017-03-13,1710.0,82.44000244140625,49.23400115966797,25.166051864624023
2017-03-14,1669.0,80.5999984741211,51.599998474121094,25.148759841918945
2017-03-15,1677.0,80.19999694824219,51.145999908447266,25.339017868041992
2017-03-16,1696.0,83.25,52.40999984741211,25.650348663330078
2017-03-17,1703.0,84.77999877929688,52.29999923706055,26.208768844604492
2017-03-20,1692.0,84.6500015258789,52.38399887084961,27.04393196105957
2017-03-21,1670.0,83.29000091552734,50.13600158691406,26.169240951538086
