,year,points,stock
0,2012,76.0,21.75850804390446
1,2013,5.0,19.977608699572414
2,2014,320.0,17.56419369919969
3,2015,257.0,14.856023604475608
4,2016,138.0,13.88403532738779
5,2017,83.0,17.855486335006415
6,2018,7.0,16.76865077775622
7,2019,1.0,13.84223107417741
8,2020,0.0,11.964567038017934
