,year,mercedes,williams
0,2012,26.064441824147824,21.75850804390446
1,2013,34.90702718401712,19.977608699572418
2,2014,46.544923086015004,17.56419369919969
3,2015,59.1628323352243,14.856023604475608
4,2016,48.47241873647653,13.88403532738779
5,2017,54.633370627608954,17.855486335006415
6,2018,51.62619278922914,16.76865077775622
7,2019,44.65607273056213,13.84223107417741
8,2020,39.92543426273376,11.964567038017934
