Date,Security,EX,Close,PrevClose,Cha,Open,High,Low,Avg,Volume,Turnover,Trns,RSI,Return,DilutedPrice
23/05/2018,EXPON0000,,4.6,4.6,0,4.6,4.6,4.6,4.6,90352,415619,39,19.94,0,4.6
24/05/2018,EXPON0000,,4.5,4.6,-0.1,4.6,4.6,4.5,4.53,11500,52050,12,16.59,-2.17,4.5
25/05/2018,EXPON0000,,4.7,4.5,0.2,4.6,4.7,4.6,4.65,38024,176695,11,42.89,4.44,4.7
28/05/2018,EXPON0000,,4.6,4.7,-0.1,4.6,4.7,4.6,4.68,61680,288688,10,42.89,-2.12,4.6
30/05/2018,EXPON0000,,4.6,4.6,0,4.8,4.8,4.6,4.6,2031,9343,3,33.26,0,4.6
31/05/2018,EXPON0000,,4.5,4.6,-0.1,4.6,4.7,4.5,4.52,506028,2284869,75,28.46,-2.17,4.5
01/06/2018,EXPON0000,,4.6,4.5,0.1,4.6,4.7,4.5,4.59,189130,868749,31,37.48,2.22,4.6
04/06/2018,EXPON0000,,4.6,4.6,0,4.6,4.6,4.5,4.58,83199,380796,19,37.48,0,4.6
05/06/2018,EXPON0000,,4.5,4.6,-0.1,4.6,4.6,4.5,4.5,11508,51787,6,37.48,-2.17,4.5
06/06/2018,EXPON0000,,4.5,4.5,0,4.6,4.6,4.5,4.53,78746,356358,32,37.48,0,4.5
07/06/2018,EXPON0000,,4.5,4.5,0,4.6,4.6,4.4,4.5,127200,572890,13,37.48,0,4.5
08/06/2018,EXPON0000,,4.5,4.5,0,4.4,4.5,4.4,4.5,29504,132668,8,37.48,0,4.5
11/06/2018,EXPON0000,,4.5,4.5,0,4.4,4.5,4.4,4.5,31190,140255,9,37.48,0,4.5
12/06/2018,EXPON0000,,4.4,4.5,-0.1,4.5,4.5,4.4,4.4,20450,90055,13,37.48,-2.22,4.4
13/06/2018,EXPON0000,,4.5,4.4,0.1,4.5,4.6,4.4,4.5,1873360,8430040,116,44.39,2.27,4.5
14/06/2018,EXPON0000,,4.5,4.5,0,4.5,4.5,4.4,4.5,1359622,6118099,52,50,0,4.5
18/06/2018,EXPON0000,,4.4,4.5,-0.1,4.5,4.5,4.4,4.43,9313,41279,13,28.46,-2.22,4.4
19/06/2018,EXPON0000,,4.5,4.4,0.1,4.5,4.5,4.4,4.43,160600,711450,32,42.89,2.27,4.5
20/06/2018,EXPON0000,,4.3,4.5,-0.2,4.4,4.5,4.2,4.32,588052,2542297,53,33.33,-4.44,4.3
21/06/2018,EXPON0000,,4.3,4.3,0,4.3,4.4,4.2,4.23,797750,3378050,52,37.48,0,4.3
22/06/2018,EXPON0000,,4.1,4.3,-0.2,4.3,4.3,4.1,4.2,101078,424078,43,22.12,-4.65,4.1
25/06/2018,EXPON0000,,4.2,4.1,0.1,4.2,4.2,4.2,4.2,10120,42504,4,29.97,2.43,4.2
26/06/2018,EXPON0000,,4,4.2,-0.2,4.2,4.2,4,4,2881464,11537853,122,27.26,-4.76,4
28/06/2018,EXPON0000,,4.1,4,0.1,4,4.1,4,4.05,114501,463509,30,33.29,2.5,4.1
29/06/2018,EXPON0000,,4,4.1,-0.1,4.1,4.1,4,4.01,978871,3926894,62,30.74,-2.43,4
02/07/2018,EXPON0000,,4,4,0,4,4,4,4,1174087,4696348,19,30.74,0,4
03/07/2018,EXPON0000,,3.9,4,-0.1,4,4.1,3.9,4,104749,418632,16,28.53,-2.5,3.9
04/07/2018,EXPON0000,,4,3.9,0.1,4,4,3.9,4,247112,988448,18,35.74,2.56,4
05/07/2018,EXPON0000,,4,4,0,4,4.1,4,4,573202,2293888,42,30.74,0,4
06/07/2018,EXPON0000,,4,4,0,4,4.1,4,4,97971,391914,25,30.74,0,4
