,driver,points,driverID,race,race_country
6,Carlos Sainz,42,sainz,7,France
7,Pierre Gasly,37,gasly,7,France
8,Daniel Ricciardo,34,ricciardo,7,France
9,Sebastian Vettel,30,vettel,7,France
10,Fernando Alonso,17,alonso,7,France
11,Esteban Ocon,12,ocon,7,France
12,Lance Stroll,10,stroll,7,France
13,Yuki Tsunoda,8,tsunoda,7,France
14,Kimi Räikkönen,1,raikkonen,7,France
15,Antonio Giovinazzi,1,giovinazzi,7,France
16,George Russell,0,russell,7,France
17,Mick Schumacher,0,mick_schumacher,7,France
18,Nikita Mazepin,0,mazepin,7,France
19,Nicholas Latifi,0,latifi,7,France
0,Max Verstappen,156,max_verstappen,8,Austria
1,Lewis Hamilton,138,hamilton,8,Austria
2,Sergio Pérez,96,perez,8,Austria
3,Lando Norris,86,norris,8,Austria
4,Valtteri Bottas,74,bottas,8,Austria
5,Charles Leclerc,58,leclerc,8,Austria
6,Carlos Sainz,50,sainz,8,Austria
7,Pierre Gasly,37,gasly,8,Austria
8,Daniel Ricciardo,34,ricciardo,8,Austria
9,Sebastian Vettel,30,vettel,8,Austria
10,Fernando Alonso,19,alonso,8,Austria
11,Lance Stroll,14,stroll,8,Austria
12,Esteban Ocon,12,ocon,8,Austria
13,Yuki Tsunoda,9,tsunoda,8,Austria
14,Kimi Räikkönen,1,raikkonen,8,Austria
15,Antonio Giovinazzi,1,giovinazzi,8,Austria
16,George Russell,0,russell,8,Austria
17,Mick Schumacher,0,mick_schumacher,8,Austria
18,Nikita Mazepin,0,mazepin,8,Austria
19,Nicholas Latifi,0,latifi,8,Austria
0,Max Verstappen,182,max_verstappen,9,Austria
1,Lewis Hamilton,150,hamilton,9,Austria
2,Sergio Pérez,104,perez,9,Austria
3,Lando Norris,101,norris,9,Austria
4,Valtteri Bottas,92,bottas,9,Austria
5,Charles Leclerc,62,leclerc,9,Austria
6,Carlos Sainz,60,sainz,9,Austria
7,Daniel Ricciardo,40,ricciardo,9,Austria
8,Pierre Gasly,39,gasly,9,Austria
9,Sebastian Vettel,30,vettel,9,Austria
10,Fernando Alonso,20,alonso,9,Austria
11,Lance Stroll,14,stroll,9,Austria
12,Esteban Ocon,12,ocon,9,Austria
13,Yuki Tsunoda,9,tsunoda,9,Austria
14,Kimi Räikkönen,1,raikkonen,9,Austria
15,Antonio Giovinazzi,1,giovinazzi,9,Austria
16,George Russell,0,russell,9,Austria
17,Mick Schumacher,0,mick_schumacher,9,Austria
18,Nikita Mazepin,0,mazepin,9,Austria
19,Nicholas Latifi,0,latifi,9,Austria
0,Max Verstappen,185,max_verstappen,10,Great Britain
1,Lewis Hamilton,177,hamilton,10,Great Britain
2,Lando Norris,113,norris,10,Great Britain
3,Valtteri Bottas,108,bottas,10,Great Britain
4,Sergio Pérez,104,perez,10,Great Britain
5,Charles Leclerc,80,leclerc,10,Great Britain
6,Carlos Sainz,68,sainz,10,Great Britain
7,Daniel Ricciardo,50,ricciardo,10,Great Britain
8,Pierre Gasly,39,gasly,10,Great Britain
9,Sebastian Vettel,30,vettel,10,Great Britain
10,Fernando Alonso,26,alonso,10,Great Britain
11,Lance Stroll,18,stroll,10,Great Britain
12,Esteban Ocon,14,ocon,10,Great Britain
13,Yuki Tsunoda,10,tsunoda,10,Great Britain
14,Kimi Räikkönen,1,raikkonen,10,Great Britain
15,Antonio Giovinazzi,1,giovinazzi,10,Great Britain
16,George Russell,0,russell,10,Great Britain
17,Mick Schumacher,0,mick_schumacher,10,Great Britain
18,Nicholas Latifi,0,latifi,10,Great Britain
19,Nikita Mazepin,0,mazepin,10,Great Britain
0,Lewis Hamilton,195,hamilton,11,Hungary
1,Max Verstappen,187,max_verstappen,11,Hungary
2,Lando Norris,113,norris,11,Hungary
3,Valtteri Bottas,108,bottas,11,Hungary
4,Sergio Pérez,104,perez,11,Hungary
5,Carlos Sainz,83,sainz,11,Hungary
6,Charles Leclerc,80,leclerc,11,Hungary
7,Pierre Gasly,50,gasly,11,Hungary
8,Daniel Ricciardo,50,ricciardo,11,Hungary
9,Esteban Ocon,39,ocon,11,Hungary
10,Fernando Alonso,38,alonso,11,Hungary
11,Sebastian Vettel,30,vettel,11,Hungary
12,Yuki Tsunoda,18,tsunoda,11,Hungary
13,Lance Stroll,18,stroll,11,Hungary
14,Nicholas Latifi,6,latifi,11,Hungary
15,George Russell,4,russell,11,Hungary
16,Kimi Räikkönen,2,raikkonen,11,Hungary
17,Antonio Giovinazzi,1,giovinazzi,11,Hungary
18,Mick Schumacher,0,mick_schumacher,11,Hungary
19,Nikita Mazepin,0,mazepin,11,Hungary
0,Lewis Hamilton,202.5,hamilton,12,Belgium
1,Max Verstappen,199.5,max_verstappen,12,Belgium
2,Lando Norris,113,norris,12,Belgium
3,Valtteri Bottas,108,bottas,12,Belgium
4,Sergio Pérez,104,perez,12,Belgium
5,Carlos Sainz,83.5,sainz,12,Belgium
6,Charles Leclerc,82,leclerc,12,Belgium
7,Daniel Ricciardo,56,ricciardo,12,Belgium
8,Pierre Gasly,54,gasly,12,Belgium
9,Esteban Ocon,42,ocon,12,Belgium
10,Fernando Alonso,38,alonso,12,Belgium
11,Sebastian Vettel,35,vettel,12,Belgium
12,Yuki Tsunoda,18,tsunoda,12,Belgium
13,Lance Stroll,18,stroll,12,Belgium
14,George Russell,13,russell,12,Belgium
15,Nicholas Latifi,7,latifi,12,Belgium
16,Kimi Räikkönen,2,raikkonen,12,Belgium
17,Antonio Giovinazzi,1,giovinazzi,12,Belgium
18,Mick Schumacher,0,mick_schumacher,12,Belgium
19,Nikita Mazepin,0,mazepin,12,Belgium
0,Max Verstappen,224.5,max_verstappen,13,Netherlands
1,Lewis Hamilton,221.5,hamilton,13,Netherlands
2,Valtteri Bottas,123,bottas,13,Netherlands
3,Lando Norris,114,norris,13,Netherlands
4,Sergio Pérez,108,perez,13,Netherlands
5,Charles Leclerc,92,leclerc,13,Netherlands
6,Carlos Sainz,89.5,sainz,13,Netherlands
7,Pierre Gasly,66,gasly,13,Netherlands
8,Daniel Ricciardo,56,ricciardo,13,Netherlands
9,Fernando Alonso,46,alonso,13,Netherlands
10,Esteban Ocon,44,ocon,13,Netherlands
11,Sebastian Vettel,35,vettel,13,Netherlands
12,Yuki Tsunoda,18,tsunoda,13,Netherlands
13,Lance Stroll,18,stroll,13,Netherlands
14,George Russell,13,russell,13,Netherlands
15,Nicholas Latifi,7,latifi,13,Netherlands
16,Kimi Räikkönen,2,raikkonen,13,Netherlands
17,Antonio Giovinazzi,1,giovinazzi,13,Netherlands
18,Mick Schumacher,0,mick_schumacher,13,Netherlands
19,Nikita Mazepin,0,mazepin,13,Netherlands
20,Robert Kubica,0,kubica,13,Netherlands
0,Max Verstappen,226.5,max_verstappen,14,Italy
1,Lewis Hamilton,221.5,hamilton,14,Italy
2,Valtteri Bottas,141,bottas,14,Italy
3,Lando Norris,132,norris,14,Italy
4,Sergio Pérez,118,perez,14,Italy
5,Charles Leclerc,104,leclerc,14,Italy
6,Carlos Sainz,97.5,sainz,14,Italy
7,Daniel Ricciardo,83,ricciardo,14,Italy
8,Pierre Gasly,66,gasly,14,Italy
9,Fernando Alonso,50,alonso,14,Italy
10,Esteban Ocon,45,ocon,14,Italy
11,Sebastian Vettel,35,vettel,14,Italy
12,Lance Stroll,24,stroll,14,Italy
13,Yuki Tsunoda,18,tsunoda,14,Italy
14,George Russell,15,russell,14,Italy
15,Nicholas Latifi,7,latifi,14,Italy
16,Kimi Räikkönen,2,raikkonen,14,Italy
17,Antonio Giovinazzi,1,giovinazzi,14,Italy
18,Mick Schumacher,0,mick_schumacher,14,Italy
19,Robert Kubica,0,kubica,14,Italy
20,Nikita Mazepin,0,mazepin,14,Italy
