,driverID,race,qualipos,racepos
2007,hamilton,10,16,1
2008,hulkenberg,10,9,6
2010,kevin_magnussen,10,4,11
2011,kobayashi,10,20,18
2012,kvyat,10,8,20
2013,maldonado,10,19,19
2014,massa,10,3,2
2015,perez,10,10,7
2016,raikkonen,10,12,10
2017,ricciardo,10,5,4
2018,rosberg,10,1,14
2019,sutil,10,17,16
2020,vergne,10,13,12
2021,vettel,10,6,8
2022,alonso,11,5,9
2023,bottas,11,3,3
2024,button,11,7,5
2027,grosjean,11,15,13
2028,gutierrez,11,14,15
2029,hamilton,11,21,1
2030,hulkenberg,11,9,6
2032,kevin_magnussen,11,10,11
2033,kobayashi,11,18,18
2034,kvyat,11,11,20
2035,maldonado,11,22,19
2036,massa,11,6,2
2037,perez,11,13,7
2038,raikkonen,11,17,10
2039,ricciardo,11,4,4
2040,rosberg,11,1,14
2041,sutil,11,12,16
2042,vergne,11,8,12
2043,vettel,11,2,8
2044,alonso,12,4,9
2045,bottas,12,6,3
2046,button,12,10,5
2049,grosjean,12,15,13
2050,gutierrez,12,20,15
2051,hamilton,12,2,1
2052,hulkenberg,12,18,6
2054,kevin_magnussen,12,7,11
2055,kvyat,12,11,20
2057,maldonado,12,17,19
2058,massa,12,9,2
2059,perez,12,13,7
2060,raikkonen,12,8,10
2061,ricciardo,12,5,4
2062,rosberg,12,1,14
2063,sutil,12,14,16
2064,vergne,12,12,12
2065,vettel,12,3,8
2066,alonso,13,7,9
2067,bottas,13,3,3
2068,button,13,6,5
2071,grosjean,13,18,13
2072,gutierrez,13,16,15
2073,hamilton,13,1,1
2074,hulkenberg,13,14,6
2076,kevin_magnussen,13,5,11
2077,kobayashi,13,19,18
2078,kvyat,13,11,20
2079,maldonado,13,17,19
2080,massa,13,4,2
2081,perez,13,10,7
2082,raikkonen,13,12,10
2083,ricciardo,13,9,4
2084,rosberg,13,2,14
2085,sutil,13,15,16
2086,vergne,13,13,12
2087,vettel,13,8,8
2088,alonso,14,5,9
2089,bottas,14,8,3
2090,button,14,11,5
2093,grosjean,14,16,13
2094,gutierrez,14,14,15
2095,hamilton,14,1,1
2096,hulkenberg,14,13,6
2098,kevin_magnussen,14,9,11
2099,kobayashi,14,20,18
2100,kvyat,14,10,20
2101,maldonado,14,18,19
2102,massa,14,6,2
2103,perez,14,15,7
2104,raikkonen,14,7,10
2105,ricciardo,14,3,4
2106,rosberg,14,2,14
2107,sutil,14,17,16
2108,vergne,14,12,12
2109,vettel,14,4,8
2110,alonso,15,5,9
2111,bottas,15,3,3
2112,button,15,8,5
2115,grosjean,15,18,13
2116,gutierrez,15,16,15
2117,hamilton,15,2,1
2118,hulkenberg,15,14,6
2120,kevin_magnussen,15,7,11
2121,kobayashi,15,21,18
2122,kvyat,15,13,20
2123,maldonado,15,17,19
2124,massa,15,4,2
2125,perez,15,12,7
2126,raikkonen,15,10,10
2127,ricciardo,15,6,4
2128,rosberg,15,1,14
2129,sutil,15,15,16
2130,vergne,15,11,12
2131,vettel,15,9,8
2132,alonso,16,8,9
2133,bottas,16,3,3
2134,button,16,4,5
2137,grosjean,16,16,13
2138,gutierrez,16,14,15
2139,hamilton,16,1,1
2140,hulkenberg,16,12,6
2141,kevin_magnussen,16,6,11
2142,kobayashi,16,19,18
2143,kvyat,16,5,20
2144,maldonado,16,20,19
2145,massa,16,18,2
2146,perez,16,13,7
2147,raikkonen,16,9,10
2148,ricciardo,16,7,4
2149,rosberg,16,2,14
2150,sutil,16,15,16
2151,vergne,16,10,12
2152,vettel,16,11,8
2153,alonso,17,6,9
2154,bottas,17,3,3
2155,button,17,7,5
2156,grosjean,17,18,13
2157,gutierrez,17,16,15
2158,hamilton,17,2,1
2159,hulkenberg,17,13,6
2160,kevin_magnussen,17,8,11
2161,kvyat,17,14,20
2162,maldonado,17,11,19
2163,massa,17,4,2
2164,perez,17,12,7
2165,raikkonen,17,9,10
2166,ricciardo,17,5,4
2167,rosberg,17,1,14
2168,sutil,17,10,16
2169,vergne,17,15,12
2170,vettel,17,17,8
2171,alonso,18,8,9
2172,bottas,18,4,3
2173,button,18,5,5
2174,grosjean,18,15,13
2175,gutierrez,18,11,15
2176,hamilton,18,2,1
2177,hulkenberg,18,12,6
2178,kevin_magnussen,18,7,11
2179,kvyat,18,14,20
2180,maldonado,18,18,19
2181,massa,18,3,2
2182,perez,18,17,7
2183,raikkonen,18,10,10
2184,ricciardo,18,9,4
2185,rosberg,18,1,14
2186,sutil,18,13,16
2187,vergne,18,16,12
2188,vettel,18,6,8
2189,alonso,19,8,9
2190,bottas,19,3,3
2191,button,19,6,5
2192,grosjean,19,14,13
2193,gutierrez,19,15,15
2194,hamilton,19,2,1
2195,hulkenberg,19,12,6
2196,kevin_magnussen,19,9,11
2197,kobayashi,19,17,18
2198,kvyat,19,5,20
2199,maldonado,19,16,19
2200,massa,19,4,2
2201,perez,19,11,7
2202,raikkonen,19,7,10
2203,rosberg,19,1,14
2204,stevens,19,18,17
2205,sutil,19,13,16
2206,vergne,19,10,12
2207,bottas,1,6,13
2208,button,1,17,12
2209,ericsson,1,16,14
2210,grosjean,1,9,9
2211,hamilton,1,1,2
2212,hulkenberg,1,14,7
2214,kvyat,1,13,10
2215,maldonado,1,10,20
2216,massa,1,3,8
2217,max_verstappen,1,12,16
2218,nasr,1,11,15
2219,perez,1,15,5
2220,raikkonen,1,5,3
2221,ricciardo,1,7,6
2222,rosberg,1,2,1
2223,sainz,1,8,11
2224,vettel,1,4,4
2225,alonso,2,18,17
2226,bottas,2,9,13
2227,button,2,17,12
2228,ericsson,2,10,14
2229,grosjean,2,8,9
2230,hamilton,2,1,2
2231,hulkenberg,2,13,7
2232,kvyat,2,5,10
2233,maldonado,2,12,20
2234,massa,2,7,8
2235,max_verstappen,2,6,16
2236,merhi,2,19,19
2237,nasr,2,16,15
2238,perez,2,14,5
2239,raikkonen,2,11,3
2240,ricciardo,2,4,6
2241,rosberg,2,3,1
2242,sainz,2,15,11
2243,vettel,2,2,4
2244,alonso,3,18,17
2245,bottas,3,5,13
2246,button,3,17,12
2247,ericsson,3,10,14
2248,grosjean,3,8,9
2249,hamilton,3,1,2
2250,hulkenberg,3,16,7
2251,kvyat,3,12,10
2252,maldonado,3,11,20
2253,massa,3,4,8
2254,max_verstappen,3,13,16
2255,merhi,3,20,19
2256,nasr,3,9,15
2257,perez,3,15,5
2258,raikkonen,3,6,3
2259,ricciardo,3,7,6
2260,rosberg,3,2,1
2261,sainz,3,14,11
2262,stevens,3,19,18
2263,vettel,3,3,4
2264,alonso,4,14,17
2265,bottas,4,5,13
2266,ericsson,4,13,14
2267,grosjean,4,10,9
2268,hamilton,4,1,2
2269,hulkenberg,4,8,7
2270,kvyat,4,17,10
2271,maldonado,4,16,20
2272,massa,4,6,8
2273,max_verstappen,4,15,16
2274,merhi,4,19,19
2275,nasr,4,12,15
2276,perez,4,11,5
2277,raikkonen,4,4,3
2278,ricciardo,4,7,6
2279,rosberg,4,3,1
2280,sainz,4,9,11
2281,stevens,4,18,18
2282,vettel,4,2,4
2283,alonso,5,13,17
2284,bottas,5,4,13
2285,button,5,14,12
2286,ericsson,5,16,14
2287,grosjean,5,11,9
2288,hamilton,5,2,2
2289,hulkenberg,5,17,7
2290,kvyat,5,8,10
2291,maldonado,5,12,20
2292,massa,5,9,8
2293,max_verstappen,5,6,16
2294,merhi,5,20,19
2295,nasr,5,15,15
2296,perez,5,18,5
2297,raikkonen,5,7,3
2298,ricciardo,5,10,6
2299,rosberg,5,1,1
2300,sainz,5,5,11
2301,stevens,5,19,18
2302,vettel,5,3,4
2303,alonso,6,15,17
2304,bottas,6,17,13
2305,button,6,12,12
2306,ericsson,6,18,14
2307,grosjean,6,11,9
2308,hamilton,6,1,2
2309,hulkenberg,6,13,7
2310,kvyat,6,5,10
2311,maldonado,6,9,20
2312,massa,6,14,8
2313,max_verstappen,6,10,16
2314,merhi,6,20,19
2315,nasr,6,16,15
2316,perez,6,7,5
2317,raikkonen,6,6,3
2318,ricciardo,6,4,6
2319,rosberg,6,2,1
2320,sainz,6,8,11
2321,stevens,6,19,18
2322,vettel,6,3,4
2323,alonso,7,14,17
2324,bottas,7,4,13
2325,ericsson,7,13,14
2326,grosjean,7,5,9
2327,hamilton,7,1,2
2328,hulkenberg,7,7,7
2329,kvyat,7,8,10
2330,maldonado,7,6,20
2331,massa,7,17,8
2332,max_verstappen,7,12,16
2333,merhi,7,18,19
2334,nasr,7,15,15
2335,perez,7,10,5
2336,raikkonen,7,3,3
2337,ricciardo,7,9,6
2338,rosberg,7,2,1
2339,sainz,7,11,11
2340,stevens,7,19,18
2341,vettel,7,16,4
2342,alonso,8,15,17
2343,bottas,8,6,13
2344,button,8,17,12
2345,ericsson,8,12,14
2346,grosjean,8,10,9
2347,hamilton,8,1,2
2348,hulkenberg,8,5,7
2349,kvyat,8,8,10
2350,maldonado,8,11,20
2351,massa,8,4,8
2352,max_verstappen,8,7,16
2353,merhi,8,19,19
2354,nasr,8,9,15
2355,perez,8,16,5
2356,raikkonen,8,18,3
2357,ricciardo,8,14,6
2358,rosberg,8,2,1
2359,sainz,8,13,11
2360,stevens,8,20,18
2361,vettel,8,3,4
2362,alonso,9,17,17
2363,bottas,9,4,13
2364,button,9,18,12
2365,ericsson,9,15,14
2366,grosjean,9,12,9
2367,hamilton,9,1,2
2368,hulkenberg,9,9,7
2369,kvyat,9,7,10
2370,maldonado,9,14,20
2371,massa,9,3,8
2372,max_verstappen,9,13,16
2373,merhi,9,20,19
2374,nasr,9,16,15
2375,perez,9,11,5
2376,raikkonen,9,5,3
2377,ricciardo,9,10,6
2378,rosberg,9,2,1
2379,sainz,9,8,11
2380,stevens,9,19,18
2381,vettel,9,6,4
2382,alonso,10,15,17
2383,bottas,10,6,13
2384,button,10,16,12
2385,ericsson,10,17,14
2386,grosjean,10,10,9
2387,hamilton,10,1,2
2388,hulkenberg,10,11,7
2389,kvyat,10,7,10
2390,maldonado,10,14,20
2391,massa,10,8,8
2392,max_verstappen,10,9,16
2393,merhi,10,19,19
2394,nasr,10,18,15
2395,perez,10,13,5
2396,raikkonen,10,5,3
2397,ricciardo,10,4,6
2398,rosberg,10,2,1
2399,sainz,10,12,11
2400,stevens,10,20,18
2401,vettel,10,3,4
2402,alonso,11,18,17
2403,bottas,11,3,13
2404,button,11,17,12
2405,ericsson,11,13,14
2406,grosjean,11,4,9
2407,hamilton,11,1,2
2408,hulkenberg,11,11,7
2409,kvyat,11,12,10
2410,maldonado,11,8,20
2411,massa,11,7,8
2412,max_verstappen,11,15,16
2413,merhi,11,20,19
2414,nasr,11,16,15
2415,perez,11,5,5
2416,raikkonen,11,14,3
2417,ricciardo,11,6,6
2418,rosberg,11,2,1
2419,sainz,11,10,11
2420,stevens,11,19,18
2421,vettel,11,9,4
2422,alonso,12,17,17
2423,bottas,12,6,13
2424,button,12,16,12
2425,ericsson,12,10,14
2426,grosjean,12,8,9
2427,hamilton,12,1,2
2428,hulkenberg,12,9,7
2429,kvyat,12,14,10
2430,maldonado,12,11,20
2431,massa,12,5,8
2432,max_verstappen,12,20,16
2433,merhi,12,19,19
2434,nasr,12,12,15
2435,perez,12,7,5
2436,raikkonen,12,2,3
2437,ricciardo,12,15,6
2438,rosberg,12,4,1
2439,sainz,12,13,11
2440,stevens,12,18,18
2441,vettel,12,3,4
2442,alonso,13,12,17
2443,bottas,13,7,13
2444,button,13,15,12
2445,ericsson,13,17,14
2446,grosjean,13,10,9
2447,hamilton,13,5,2
2448,hulkenberg,13,11,7
2449,kvyat,13,4,10
2450,maldonado,13,18,20
2451,massa,13,9,8
2452,max_verstappen,13,8,16
2453,nasr,13,16,15
2454,perez,13,13,5
2455,raikkonen,13,3,3
2456,ricciardo,13,2,6
2457,rosberg,13,6,1
2459,sainz,13,14,11
2460,stevens,13,19,18
2461,vettel,13,1,4
2462,alonso,14,14,17
2463,bottas,14,3,13
2464,button,14,16,12
2465,ericsson,14,17,14
2466,grosjean,14,8,9
2467,hamilton,14,2,2
2468,hulkenberg,14,11,7
2469,kvyat,14,10,10
2470,maldonado,14,13,20
2471,massa,14,5,8
2472,max_verstappen,14,15,16
2473,nasr,14,18,15
2474,perez,14,9,5
2475,raikkonen,14,6,3
2476,ricciardo,14,7,6
2477,rosberg,14,1,1
2479,sainz,14,12,11
2480,stevens,14,19,18
2481,vettel,14,4,4
2482,alonso,15,16,17
2483,bottas,15,3,13
2484,button,15,13,12
2485,ericsson,15,17,14
2486,grosjean,15,8,9
2487,hamilton,15,2,2
2488,hulkenberg,15,6,7
2489,kvyat,15,11,10
2490,maldonado,15,14,20
2491,massa,15,15,8
2492,max_verstappen,15,9,16
2493,merhi,15,19,19
2494,nasr,15,12,15
2495,perez,15,7,5
2496,raikkonen,15,5,3
2497,ricciardo,15,10,6
2498,rosberg,15,1,1
2499,stevens,15,18,18
2500,vettel,15,4,4
2501,alonso,16,11,17
2502,bottas,16,12,13
2503,button,16,14,12
2504,ericsson,16,16,14
2505,grosjean,16,13,9
2506,hamilton,16,2,2
2507,hulkenberg,16,7,7
2508,kvyat,16,4,10
2509,maldonado,16,15,20
2510,massa,16,9,8
2511,max_verstappen,16,10,16
2512,nasr,16,17,15
2513,perez,16,6,5
2514,raikkonen,16,8,3
2515,ricciardo,16,3,6
2516,rosberg,16,1,1
2518,sainz,16,20,11
2519,stevens,16,19,18
2520,vettel,16,5,4
2521,alonso,17,16,17
2522,bottas,17,6,13
2523,button,17,20,12
2524,ericsson,17,14,14
2525,grosjean,17,12,9
2526,hamilton,17,2,2
2527,hulkenberg,17,10,7
2528,kvyat,17,4,10
2529,maldonado,17,13,20
2530,massa,17,7,8
2531,max_verstappen,17,8,16
2532,nasr,17,17,15
2533,perez,17,9,5
2534,raikkonen,17,15,3
2535,ricciardo,17,5,6
2536,rosberg,17,1,1
2538,sainz,17,11,11
2539,stevens,17,19,18
2540,vettel,17,3,4
2541,alonso,18,20,17
2542,bottas,18,4,13
2543,button,18,17,12
2544,ericsson,18,14,14
2545,grosjean,18,15,9
2546,hamilton,18,2,2
2547,hulkenberg,18,6,7
2548,kvyat,18,7,10
2549,maldonado,18,16,20
2550,massa,18,8,8
2551,max_verstappen,18,10,16
2552,nasr,18,11,15
2553,perez,18,13,5
2554,raikkonen,18,5,3
2555,ricciardo,18,9,6
2556,rosberg,18,1,1
2558,sainz,18,12,11
2559,stevens,18,19,18
2560,vettel,18,3,4
2561,alonso,19,17,17
2562,bottas,19,6,13
2563,button,19,12,12
2564,ericsson,19,18,14
2565,grosjean,19,15,9
2566,hamilton,19,2,2
2567,hulkenberg,19,7,7
2568,kvyat,19,9,10
2569,maldonado,19,13,20
2570,massa,19,8,8
2571,max_verstappen,19,11,16
2572,merhi,19,20,19
2573,nasr,19,14,15
2574,perez,19,4,5
2575,raikkonen,19,3,3
2576,ricciardo,19,5,6
2577,rosberg,19,1,1
2578,sainz,19,10,11
2579,stevens,19,19,18
2580,vettel,19,16,4
2581,alonso,1,12,10
2582,bottas,1,11,21
2583,button,1,13,20
2584,ericsson,1,16,15
2585,grosjean,1,19,11
2586,gutierrez,1,20,12
2587,hamilton,1,1,1
2589,hulkenberg,1,10,7
2590,jolyon_palmer,1,14,17
2591,kevin_magnussen,1,15,22
2592,kvyat,1,18,19
2593,massa,1,6,9
2594,max_verstappen,1,5,4
2595,nasr,1,17,16
2596,perez,1,9,8
2597,raikkonen,1,4,6
2598,ricciardo,1,8,5
2599,rosberg,1,2,2
2600,sainz,1,7,18
2601,vettel,1,3,3
2602,wehrlein,1,22,14
2603,bottas,2,6,21
2604,button,2,14,20
2605,ericsson,2,17,15
2606,grosjean,2,9,11
2607,gutierrez,2,13,12
2608,hamilton,2,1,1
2610,hulkenberg,2,8,7
2611,jolyon_palmer,2,20,17
2612,kevin_magnussen,2,19,22
2613,kvyat,2,15,19
2614,massa,2,7,9
2615,max_verstappen,2,10,4
2616,nasr,2,22,16
2617,perez,2,18,8
2618,raikkonen,2,4,6
2619,ricciardo,2,5,5
2620,rosberg,2,2,2
2621,sainz,2,11,18
2623,vettel,2,3,3
2624,wehrlein,2,16,14
2625,alonso,3,12,10
2626,bottas,3,5,21
2627,button,3,13,20
2628,ericsson,3,15,15
2629,grosjean,3,14,11
2630,gutierrez,3,18,12
2631,hamilton,3,22,1
2633,hulkenberg,3,10,7
2634,jolyon_palmer,3,19,17
2635,kevin_magnussen,3,17,22
2636,kvyat,3,6,19
2637,massa,3,11,9
2638,max_verstappen,3,9,4
2639,nasr,3,16,16
2640,perez,3,7,8
2641,raikkonen,3,3,6
2642,ricciardo,3,2,5
2643,rosberg,3,1,2
2644,sainz,3,8,18
2645,vettel,3,4,3
2646,wehrlein,3,21,14
2647,alonso,4,14,10
2648,bottas,4,3,21
2649,button,4,12,20
2650,ericsson,4,22,15
2651,grosjean,4,15,11
2652,gutierrez,4,16,12
2653,hamilton,4,10,1
2655,hulkenberg,4,13,7
2656,jolyon_palmer,4,18,17
2657,kevin_magnussen,4,17,22
2658,kvyat,4,8,19
2659,massa,4,5,9
2660,max_verstappen,4,9,4
2661,nasr,4,19,16
2662,perez,4,7,8
2663,raikkonen,4,4,6
2664,ricciardo,4,6,5
2665,rosberg,4,1,2
2666,sainz,4,11,18
2667,vettel,4,2,3
2668,wehrlein,4,20,14
2669,alonso,5,10,10
2670,bottas,5,7,21
2671,button,5,12,20
2672,ericsson,5,19,15
2673,grosjean,5,14,11
2674,gutierrez,5,16,12
2675,hamilton,5,1,1
2677,hulkenberg,5,11,7
2678,jolyon_palmer,5,17,17
2679,kevin_magnussen,5,15,22
2680,kvyat,5,13,19
2681,massa,5,18,9
2682,max_verstappen,5,4,4
2683,nasr,5,20,16
2684,perez,5,9,8
2685,raikkonen,5,5,6
2686,ricciardo,5,3,5
2687,rosberg,5,2,2
2688,sainz,5,8,18
2689,vettel,5,6,3
2690,wehrlein,5,21,14
2691,alonso,6,10,10
2692,bottas,6,11,21
2693,button,6,13,20
2694,ericsson,6,17,15
2695,grosjean,6,15,11
2696,gutierrez,6,12,12
2697,hamilton,6,3,1
2699,hulkenberg,6,5,7
2700,jolyon_palmer,6,18,17
2701,kevin_magnussen,6,16,22
2702,kvyat,6,9,19
2703,massa,6,14,9
2704,max_verstappen,6,21,4
2705,nasr,6,22,16
2706,perez,6,8,8
2707,raikkonen,6,6,6
2708,ricciardo,6,1,5
2709,rosberg,6,2,2
2710,sainz,6,7,18
2711,vettel,6,4,3
2712,wehrlein,6,20,14
2713,alonso,7,10,10
2714,bottas,7,7,21
2715,button,7,12,20
2716,ericsson,7,19,15
2717,grosjean,7,15,11
2718,gutierrez,7,14,12
2719,hamilton,7,1,1
2721,hulkenberg,7,9,7
2722,jolyon_palmer,7,17,17
2723,kvyat,7,13,19
2724,massa,7,8,9
2725,max_verstappen,7,5,4
2726,nasr,7,20,16
2727,perez,7,11,8
2728,raikkonen,7,6,6
2729,ricciardo,7,4,5
2730,rosberg,7,2,2
2731,sainz,7,16,18
2732,vettel,7,3,3
2733,wehrlein,7,18,14
2734,alonso,8,14,10
2735,bottas,8,8,21
2736,button,8,19,20
2737,ericsson,8,20,15
2738,grosjean,8,11,11
2739,gutierrez,8,15,12
2740,hamilton,8,10,1
2742,hulkenberg,8,12,7
2743,jolyon_palmer,8,22,17
2744,kevin_magnussen,8,21,22
2745,kvyat,8,7,19
2746,massa,8,6,9
2747,max_verstappen,8,9,4
2748,nasr,8,16,16
2749,perez,8,2,8
2750,raikkonen,8,5,6
2751,ricciardo,8,3,5
2752,rosberg,8,1,2
2753,sainz,8,13,18
2754,vettel,8,4,3
2755,wehrlein,8,18,14
2756,alonso,9,14,10
2757,bottas,9,8,21
2758,button,9,5,20
2759,ericsson,9,21,15
2760,grosjean,9,13,11
2761,gutierrez,9,11,12
2762,hamilton,9,1,1
2764,hulkenberg,9,3,7
2765,jolyon_palmer,9,18,17
2766,kevin_magnussen,9,17,22
2767,kvyat,9,20,19
2768,massa,9,10,9
2769,max_verstappen,9,9,4
2770,nasr,9,22,16
2771,perez,9,16,8
2772,raikkonen,9,6,6
2773,ricciardo,9,7,5
2774,rosberg,9,2,2
2775,sainz,9,15,18
2776,vettel,9,4,3
2777,wehrlein,9,12,14
2778,alonso,10,10,10
2779,bottas,10,7,21
2780,button,10,17,20
2781,grosjean,10,13,11
2782,gutierrez,10,14,12
2783,hamilton,10,1,1
2785,hulkenberg,10,9,7
2786,jolyon_palmer,10,18,17
2787,kevin_magnussen,10,16,22
2788,kvyat,10,15,19
2789,massa,10,12,9
2790,max_verstappen,10,3,4
2791,nasr,10,21,16
2792,perez,10,11,8
2793,raikkonen,10,5,6
2794,ricciardo,10,4,5
2795,rosberg,10,2,2
2796,sainz,10,8,18
2797,vettel,10,6,3
2798,wehrlein,10,20,14
2799,alonso,11,7,10
2800,bottas,11,10,21
2801,button,11,8,20
2802,ericsson,11,20,15
2803,grosjean,11,11,11
2804,gutierrez,11,15,12
2805,hamilton,11,2,1
2807,hulkenberg,11,9,7
2808,jolyon_palmer,11,17,17
2809,kevin_magnussen,11,19,22
2810,kvyat,11,12,19
2811,massa,11,18,9
2812,max_verstappen,11,4,4
2813,nasr,11,16,16
2814,perez,11,13,8
2815,raikkonen,11,14,6
2816,ricciardo,11,3,5
2817,rosberg,11,1,2
2818,sainz,11,6,18
2819,vettel,11,5,3
2820,wehrlein,11,21,14
2821,alonso,12,14,10
2822,bottas,12,8,21
2823,button,12,12,20
2824,ericsson,12,22,15
2825,grosjean,12,15,11
2826,gutierrez,12,11,12
2827,hamilton,12,2,1
2829,hulkenberg,12,7,7
2830,jolyon_palmer,12,16,17
2831,kevin_magnussen,12,17,22
2832,kvyat,12,19,19
2833,massa,12,10,9
2834,max_verstappen,12,4,4
2835,nasr,12,21,16
2836,perez,12,9,8
2837,raikkonen,12,5,6
2838,ricciardo,12,3,5
2839,rosberg,12,1,2
2840,sainz,12,13,18
2841,vettel,12,6,3
2842,wehrlein,12,18,14
2843,bottas,13,8,21
2844,button,13,9,20
2845,ericsson,13,20,15
2846,grosjean,13,11,11
2847,gutierrez,13,13,12
2848,hamilton,13,21,1
2849,hulkenberg,13,7,7
2850,jolyon_palmer,13,14,17
2851,kevin_magnussen,13,12,22
2852,kvyat,13,19,19
2853,massa,13,10,9
2854,max_verstappen,13,2,4
2855,nasr,13,17,16
2856,ocon,13,18,13
2857,perez,13,6,8
2858,raikkonen,13,3,6
2859,ricciardo,13,5,5
2860,rosberg,13,1,2
2861,sainz,13,15,18
2862,vettel,13,4,3
2863,wehrlein,13,16,14
2864,alonso,14,13,10
2865,bottas,14,5,21
2866,button,14,15,20
2867,ericsson,14,19,15
2868,grosjean,14,12,11
2869,gutierrez,14,10,12
2870,hamilton,14,1,1
2871,hulkenberg,14,9,7
2872,jolyon_palmer,14,20,17
2873,kevin_magnussen,14,21,22
2874,kvyat,14,17,19
2875,massa,14,11,9
2876,max_verstappen,14,7,4
2877,nasr,14,18,16
2878,perez,14,8,8
2879,raikkonen,14,4,6
2880,ricciardo,14,6,5
2881,rosberg,14,2,2
2882,sainz,14,16,18
2883,vettel,14,3,3
2884,wehrlein,14,14,14
2885,alonso,15,9,10
2886,bottas,15,11,21
2887,button,15,13,20
2888,ericsson,15,16,15
2889,grosjean,15,15,11
2890,gutierrez,15,14,12
2891,hamilton,15,3,1
2892,hulkenberg,15,8,7
2893,jolyon_palmer,15,19,17
2894,kevin_magnussen,15,17,22
2895,kvyat,15,7,19
2896,massa,15,12,9
2897,max_verstappen,15,4,4
2898,nasr,15,18,16
2899,ocon,15,21,13
2900,perez,15,10,8
2901,raikkonen,15,5,6
2902,ricciardo,15,2,5
2903,rosberg,15,1,2
2904,sainz,15,6,18
2905,vettel,15,22,3
2906,wehrlein,15,20,14
2907,alonso,16,22,10
2908,bottas,16,11,21
2909,button,16,9,20
2910,ericsson,16,17,15
2911,grosjean,16,12,11
2912,gutierrez,16,13,12
2913,hamilton,16,1,1
2914,hulkenberg,16,8,7
2915,jolyon_palmer,16,19,17
2916,kevin_magnussen,16,14,22
2917,kvyat,16,15,19
2918,massa,16,10,9
2919,max_verstappen,16,3,4
2920,nasr,16,18,16
2921,ocon,16,20,13
2922,perez,16,7,8
2923,raikkonen,16,6,6
2924,ricciardo,16,4,5
2925,rosberg,16,2,2
2926,sainz,16,16,18
2927,vettel,16,5,3
2928,wehrlein,16,21,14
2929,alonso,17,15,10
2930,bottas,17,11,21
2931,button,17,17,20
2932,ericsson,17,19,15
2933,grosjean,17,8,11
2934,gutierrez,17,10,12
2935,hamilton,17,2,1
2936,hulkenberg,17,9,7
2937,jolyon_palmer,17,16,17
2938,kevin_magnussen,17,18,22
2939,kvyat,17,13,19
2940,massa,17,12,9
2941,max_verstappen,17,5,4
2942,nasr,17,20,16
2943,ocon,17,21,13
2944,perez,17,7,8
2945,raikkonen,17,3,6
2946,ricciardo,17,6,5
2947,rosberg,17,1,2
2948,sainz,17,14,18
2949,vettel,17,4,3
2950,wehrlein,17,22,14
2951,alonso,18,12,10
2952,bottas,18,8,21
2953,button,18,19,20
2954,ericsson,18,16,15
2955,grosjean,18,17,11
2956,gutierrez,18,14,12
2957,hamilton,18,1,1
2958,hulkenberg,18,7,7
2959,jolyon_palmer,18,15,17
2960,kevin_magnussen,18,18,22
2961,kvyat,18,13,19
2962,massa,18,9,9
2963,max_verstappen,18,4,4
2964,nasr,18,21,16
2965,ocon,18,22,13
2966,perez,18,11,8
2967,raikkonen,18,5,6
2968,ricciardo,18,3,5
2969,rosberg,18,2,2
2970,sainz,18,10,18
2971,vettel,18,6,3
2972,wehrlein,18,20,14
2973,alonso,19,11,10
2974,bottas,19,8,21
2975,button,19,13,20
2976,ericsson,19,15,15
2977,grosjean,19,21,11
2978,gutierrez,19,17,12
2979,hamilton,19,1,1
2980,hulkenberg,19,5,7
2981,kevin_magnussen,19,14,22
2982,kvyat,19,18,19
2983,massa,19,9,9
2984,max_verstappen,19,3,4
2985,nasr,19,19,16
2986,ocon,19,20,13
2987,perez,19,12,8
2988,raikkonen,19,6,6
2989,ricciardo,19,4,5
2990,rosberg,19,2,2
2991,sainz,19,10,18
2992,vettel,19,7,3
2993,wehrlein,19,16,14
2994,alonso,20,10,10
2995,bottas,20,11,21
2996,button,20,17,20
2997,ericsson,20,21,15
2998,grosjean,20,7,11
2999,gutierrez,20,12,12
3000,hamilton,20,1,1
3001,hulkenberg,20,8,7
3002,jolyon_palmer,20,16,17
3003,kevin_magnussen,20,18,22
3004,kvyat,20,14,19
3005,massa,20,13,9
3006,max_verstappen,20,4,4
3007,nasr,20,22,16
3008,ocon,20,20,13
3009,perez,20,9,8
3010,raikkonen,20,3,6
3011,ricciardo,20,6,5
3012,rosberg,20,2,2
3013,sainz,20,15,18
3014,vettel,20,5,3
3015,wehrlein,20,19,14
3016,alonso,21,9,10
3017,bottas,21,11,21
3018,button,21,12,20
3019,ericsson,21,22,15
3020,grosjean,21,14,11
3021,gutierrez,21,13,12
3022,hamilton,21,1,1
3023,hulkenberg,21,7,7
3024,jolyon_palmer,21,15,17
3025,kevin_magnussen,21,18,22
3026,kvyat,21,17,19
3027,massa,21,10,9
3028,max_verstappen,21,6,4
3029,nasr,21,19,16
3030,ocon,21,20,13
3031,perez,21,8,8
3032,raikkonen,21,4,6
3033,ricciardo,21,3,5
3034,rosberg,21,2,2
3035,sainz,21,21,18
3036,vettel,21,5,3
3037,wehrlein,21,16,14
3038,alonso,1,13,9
3039,bottas,1,3,1
3040,ericsson,1,15,17
3042,grosjean,1,6,11
3043,hamilton,1,1,2
3044,hulkenberg,1,12,6
3046,kevin_magnussen,1,17,13
3048,massa,1,7,10
3049,max_verstappen,1,5,5
3050,ocon,1,14,8
3051,perez,1,11,7
