,driverID,race,qualipos,racepos
1171,bruno_senna,12,17,23
1172,button,12,1,1
1173,glock,12,21,16
1174,grosjean,12,9,21
1175,hamilton,12,8,20
1176,hulkenberg,12,12,5
1177,karthikeyan,12,24,18
1178,kobayashi,12,2,9
1179,kovalainen,12,19,14
1180,maldonado,12,3,22
1181,massa,12,14,3
1182,michael_schumacher,12,13,7
1183,perez,12,5,24
1184,petrov,12,20,11
1185,pic,12,23,12
1186,raikkonen,12,4,10
1187,resta,12,10,19
1188,ricciardo,12,16,13
1189,rosa,12,22,17
1190,rosberg,12,18,15
1191,vergne,12,15,8
1192,vettel,12,11,6
1193,webber,12,7,4
1194,alonso,13,10,2
1196,bruno_senna,13,14,23
1197,button,13,2,1
1198,glock,13,20,16
1199,hamilton,13,1,20
1200,karthikeyan,13,22,18
1201,kobayashi,13,9,9
1202,kovalainen,13,18,14
1203,maldonado,13,12,22
1204,massa,13,3,3
1205,michael_schumacher,13,5,7
1206,perez,13,13,24
1207,petrov,13,19,11
1208,pic,13,21,12
1209,raikkonen,13,8,10
1210,resta,13,4,19
1211,ricciardo,13,15,13
1212,rosa,13,23,17
1213,rosberg,13,7,15
1214,vergne,13,17,8
1215,vettel,13,6,6
1216,webber,13,11,4
1217,alonso,14,5,2
1218,bruno_senna,14,17,23
1219,button,14,4,1
1220,glock,14,21,16
1221,grosjean,14,8,21
1222,hamilton,14,1,20
1223,hulkenberg,14,11,5
1224,karthikeyan,14,23,18
1225,kobayashi,14,18,9
1226,kovalainen,14,20,14
1227,maldonado,14,2,22
1228,massa,14,13,3
1229,michael_schumacher,14,9,7
1230,perez,14,14,24
1231,petrov,14,19,11
1232,pic,14,22,12
1233,raikkonen,14,12,10
1234,resta,14,6,19
1235,ricciardo,14,15,13
1236,rosa,14,24,17
1237,rosberg,14,10,15
1238,vergne,14,16,8
1239,vettel,14,3,6
1240,webber,14,7,4
1241,alonso,15,7,2
1242,bruno_senna,15,18,23
1243,button,15,3,1
1244,glock,15,20,16
1245,grosjean,15,5,21
1246,hamilton,15,9,20
1247,hulkenberg,15,10,5
1248,karthikeyan,15,24,18
1249,kobayashi,15,4,9
1250,kovalainen,15,19,14
1251,maldonado,15,14,22
1252,massa,15,11,3
1253,michael_schumacher,15,13,7
1254,perez,15,6,24
1255,petrov,15,23,11
1256,pic,15,22,12
1257,raikkonen,15,8,10
1258,resta,15,12,19
1259,ricciardo,15,16,13
1260,rosa,15,21,17
1261,rosberg,15,15,15
